state_postal,state_name,electoral_votes_2010,electoral_votes_2020
AL,Alabama,9,9
AK,Alaska,3,3
AZ,Arizona,11,11
AR,Arkansas,6,6
CA,California,55,54
CO,Colorado,9,10
CT,Connecticut,7,7
DE,Delaware,3,3
DC,District of Columbia,3,3
FL,Florida,29,30
GA,Georgia,16,16
HI,Hawaii,4,4
ID,Idaho,4,4
IL,Illinois,20,19
IN,Indiana,11,11
IA,Iowa,6,6
KS,Kansas,6,6
KY,Kentucky,8,8
LA,Louisiana,8,8
ME,Maine,4,4
MD,Maryland,10,10
MA,Massachusetts,11,11
MI,Michigan,16,15
MN,Minnesota,10,10
MS,Mississippi,6,6
MO,Missouri,10,10
MT,Montana,3,4
NE,Nebraska,5,5
NV,Nevada,6,6
NH,New Hampshire,4,4
NJ,New Jersey,14,14
NM,New Mexico,5,5
NY,New York,29,28
NC,North Carolina,15,16
ND,North Dakota,3,3
OH,Ohio,18,17
OK,Oklahoma,7,7
OR,Oregon,7,8
PA,Pennsylvania,20,19
RI,Rhode Island,4,4
SC,South Carolina,9,9
SD,South Dakota,3,3
TN,Tennessee,11,11
TX,Texas,38,40
UT,Utah,6,6
VT,Vermont,3,3
VA,Virginia,13,13
WA,Washington,12,12
WV,West Virginia,5,4
WI,Wisconsin,10,10
WY,Wyoming,3,3
